SIGNET_SOURCE	SIGNET_DEST
EED	ABCF1 ACTR1A ALDH18A1 APOBEC3B ARPC3 ATP2A2 ATP5F1B ATP6V1C1 BAZ2A BZW1 CALM1 CALM2 CALM3 CAND2 CAPZA2 CCNL1 CCT3 CEBPZ CLASRP CLK2 CLTC CNOT1 DDX17 DMXL1 DSP EEF1G EIF2S2 EXOSC4 FERMT2 FLOT1 GEMIN7 GLIPR2 GNB2 HCN3 HNRNPC HNRNPR HNRNPUL2 IGF2BP2 ISG20L2 KIF20A KIF2C KPNA1 LIG3 LTN1 MCM7 MDC1 MET MST1 MTA2 MYH11 NCL NFKB2 NOLC1 NRM NXF1 OBSCN PABPN1 PAM PLEC PLOD1 PMVK PPP1CC PRDM14 PSMA5 PTGES3 PUF60 RAB3IL1 RALY RNF11 RPL22 RPL30 RPL32 RPS8 RSL1D1 SIPA1L1 SMARCAD1 SMC3 SRRT SRSF3 STK38 SUN2 TANC1 TBK1 TLN1 TOMM22 TOP1 TRIM63 TRPM7 TTN TUBB UBE4B UNC45B VARS2 VILL VPS29 XPO4 XPOT
EEF1AKMT1	RNF123
EEF1G	ARF1 ATP1B1 ATP5F1B CACNA1C CAV3 CCNL1 CCT3 CHMP4B CLK2 DSP DYSF EED EFNA1 FBXO6 FEN1 GJA1 KIF20A KLHL18 L1TD1 MAPT MEPCE MTA2 MTDH MTNR1A NACA OBSL1 PRKCZ RBM6 RNF123 RPL30 RPL32 RYR2 SNW1 TMEM223 TRAP1 TRIM63 TUBB VARS2
EFNA1	EEF1G GAREM1
EFNA4	CHN1 NXF1
EFS	PLCG1 TRAPPC6A
EGR1	CREBBP MTDH NES
EIF2AK2	CASP7 CASP8 CCNL1 CHMP4B HNRNPC IGF2BP2 INS MAP3K7 MAPT NHLRC2 OBSL1 PPP1CC PTGES3 THAP12 TOP1
EIF2B4	DCP1A EIF2S2 EXOSC4 GPR183 INS RIOK1 SMARCAD1 SNW1
EIF2S2	ATP1B1 BET1 EED EIF2B4 EXOSC4 INS MAD2L2 MAPT MTDH NHLRC2 PMP22 PSMC6 RIOK1 SNW1 TOMM22 ZBTB7B
ELK4	ID2 ID3 LARP1 RIOK1
ELP6	CLK1 GBF1 GJA1 ZNF639
EMILIN3	NOS3
EML3	NPHP4
EMSY	CSNK2A2 KIF20A MAD2L2 MDC1 NXF1 PPP1CC RNF220
EPHB4	CD81 DDR1 EPO
EPO	EPHB4 PLCG1
EPPK1	CCNL1 CDKN1A CFLAR CHMP4B KCNJ2 KIF20A MAD2L2 MST1 NFKB2 NHLRC2 OBSL1 SKI SNW1
